@RELATION training_BOOKKEEPER_4.2.2

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
1,4,4,4,50,13,13.0,12,4,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
9,207,23,93,928,97,10.777778,42,3,NO_BUG
0,0,0,0,60,0,?,0,1,NO_BUG
1,2,2,2,62,13,13.0,12,3,NO_BUG
1,4,4,4,87,13,13.0,12,1,NO_BUG
1,1,1,1,52,13,13.0,12,1,NO_BUG
3,270,90,240,268,27,9.0,15,2,NO_BUG
0,0,0,0,163,0,?,0,3,NO_BUG
1,19,19,19,109,13,13.0,12,1,NO_BUG
0,0,0,0,147,0,?,0,1,NO_BUG
2,59,29,58,58,26,13.0,15,1,NO_BUG
1,44,44,44,44,15,15.0,14,1,NO_BUG
1,108,108,108,108,23,23.0,22,1,NO_BUG
0,0,0,0,215,0,?,0,1,NO_BUG
0,0,0,0,271,0,?,0,1,NO_BUG
2,20,10,14,458,24,12.0,20,3,NO_BUG
0,0,0,0,137,0,?,0,2,NO_BUG
2,30,15,15,357,2,1.0,1,4,NO_BUG
0,0,0,0,104,0,?,0,2,NO_BUG
0,0,0,0,35,0,?,0,2,NO_BUG
0,0,0,0,98,0,?,0,2,NO_BUG
1,1,1,1,117,41,41.0,40,4,NO_BUG
1,87,87,87,204,13,13.0,12,4,NO_BUG
0,0,0,0,162,0,?,0,1,NO_BUG
0,0,0,0,130,0,?,0,1,NO_BUG
0,0,0,0,108,0,?,0,1,NO_BUG
1,2,2,2,353,13,13.0,12,1,NO_BUG
1,8,8,8,80,13,13.0,12,3,NO_BUG
0,0,0,0,28,0,?,0,1,NO_BUG
1,2,2,2,57,13,13.0,12,3,NO_BUG
1,5,5,5,306,45,45.0,44,3,NO_BUG
2,8,4,6,340,56,28.0,44,4,NO_BUG
1,8,8,8,798,45,45.0,44,4,NO_BUG
0,0,0,0,75,0,?,0,2,NO_BUG
0,0,0,0,125,0,?,0,4,NO_BUG
0,0,0,0,200,0,?,0,4,NO_BUG
0,0,0,0,134,0,?,0,1,NO_BUG
0,0,0,0,57,0,?,0,2,NO_BUG
0,0,0,0,123,0,?,0,3,NO_BUG
0,0,0,0,53,0,?,0,1,NO_BUG
0,0,0,0,48,0,?,0,2,NO_BUG
0,0,0,0,74,0,?,0,3,NO_BUG
0,0,0,0,86,0,?,0,3,NO_BUG
0,0,0,0,355,0,?,0,4,NO_BUG
0,0,0,0,132,0,?,0,3,NO_BUG
0,0,0,0,177,0,?,0,3,NO_BUG
0,0,0,0,70,0,?,0,1,NO_BUG
0,0,0,0,36,0,?,0,3,NO_BUG
0,0,0,0,58,0,?,0,2,NO_BUG
0,0,0,0,62,0,?,0,1,NO_BUG
0,0,0,0,132,0,?,0,3,NO_BUG
0,0,0,0,74,0,?,0,3,NO_BUG
1,5,5,5,83,41,41.0,40,3,NO_BUG
0,0,0,0,74,0,?,0,1,NO_BUG
1,2,2,2,1262,45,45.0,44,5,NO_BUG
0,0,0,0,74,0,?,0,2,NO_BUG
0,0,0,0,101,0,?,0,4,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
0,0,0,0,22,0,?,0,1,NO_BUG
1,3,3,3,489,45,45.0,44,5,NO_BUG
0,0,0,0,62,0,?,0,1,NO_BUG
0,0,0,0,99,0,?,0,3,NO_BUG
0,0,0,0,27,0,?,0,2,NO_BUG
0,0,0,0,59,0,?,0,3,NO_BUG
0,0,0,0,77,0,?,0,2,NO_BUG
0,0,0,0,846,0,?,0,4,NO_BUG
0,0,0,0,64,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,63,0,?,0,2,NO_BUG
0,0,0,0,54,0,?,0,2,NO_BUG
0,0,0,0,64,0,?,0,2,NO_BUG
1,1,1,1,525,13,13.0,12,4,NO_BUG
0,0,0,0,83,0,?,0,1,NO_BUG
0,0,0,0,63,0,?,0,1,NO_BUG
0,0,0,0,76,0,?,0,2,NO_BUG
0,0,0,0,202,0,?,0,2,NO_BUG
1,3,3,3,155,41,41.0,40,4,NO_BUG
1,3,3,3,166,45,45.0,44,2,NO_BUG
0,0,0,0,213,0,?,0,1,NO_BUG
1,6,6,6,866,45,45.0,44,2,NO_BUG
0,0,0,0,159,0,?,0,1,NO_BUG
0,0,0,0,100,0,?,0,1,NO_BUG
0,0,0,0,96,0,?,0,1,NO_BUG
2,10,5,6,841,79,39.5,44,3,NO_BUG
0,0,0,0,37,0,?,0,1,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
0,0,0,0,48,0,?,0,1,NO_BUG
0,0,0,0,67,0,?,0,3,NO_BUG
0,0,0,0,29,0,?,0,2,NO_BUG
0,0,0,0,105,0,?,0,1,NO_BUG
0,0,0,0,72,0,?,0,3,NO_BUG
0,0,0,0,37,0,?,0,2,NO_BUG
0,0,0,0,47,0,?,0,1,NO_BUG
0,0,0,0,31,0,?,0,1,NO_BUG
0,0,0,0,90,0,?,0,4,NO_BUG
0,0,0,0,223,0,?,0,4,NO_BUG
0,0,0,0,214,0,?,0,2,NO_BUG
0,0,0,0,107,0,?,0,4,NO_BUG
0,0,0,0,90,0,?,0,3,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
0,0,0,0,28,0,?,0,1,NO_BUG
0,0,0,0,92,0,?,0,3,NO_BUG
3,211,70,199,885,13,4.3333335,12,4,NO_BUG
0,0,0,0,38,0,?,0,2,NO_BUG
3,45,15,33,584,52,17.333334,40,4,NO_BUG
0,0,0,0,32,0,?,0,3,NO_BUG
0,0,0,0,111,0,?,0,1,NO_BUG
0,0,0,0,35,0,?,0,2,NO_BUG
0,0,0,0,106,0,?,0,3,NO_BUG
0,0,0,0,106,0,?,0,4,NO_BUG
1,2,2,2,93,45,45.0,44,5,NO_BUG
1,2,2,2,101,41,41.0,40,3,NO_BUG
0,0,0,0,123,0,?,0,1,NO_BUG
1,3,3,3,549,45,45.0,44,3,NO_BUG
0,0,0,0,437,0,?,0,1,NO_BUG
2,8,4,6,1033,79,39.5,44,3,NO_BUG
1,9,9,9,101,41,41.0,40,2,NO_BUG
1,2,2,2,331,45,45.0,44,2,NO_BUG
0,0,0,0,74,0,?,0,1,NO_BUG
