@RELATION training_ZOOKEEPER_3.0.1

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
0,0,0,0,29,0,?,0,1,NO_BUG
0,0,0,0,175,0,?,0,2,NO_BUG
0,0,0,0,36,0,?,0,1,NO_BUG
0,0,0,0,112,0,?,0,3,NO_BUG
0,0,0,0,68,0,?,0,1,NO_BUG
0,0,0,0,88,0,?,0,2,NO_BUG
0,0,0,0,46,0,?,0,1,NO_BUG
0,0,0,0,117,0,?,0,2,NO_BUG
0,0,0,0,74,0,?,0,1,NO_BUG
0,0,0,0,28,0,?,0,1,NO_BUG
0,0,0,0,26,0,?,0,1,NO_BUG
0,0,0,0,29,0,?,0,1,NO_BUG
0,0,0,0,43,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,26,0,?,0,1,NO_BUG
0,0,0,0,53,0,?,0,2,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,44,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
0,0,0,0,38,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
